Question,Answer
How many successful passes did each team have?,"Aalborg BK: 333 successful passes, Viborg FF: 410 successful passes"
How many unsuccessful passes were made by each team?,"Aalborg BK: 101 unsuccessful passes, Viborg FF: 97 unsuccessful passes"
Which team had the most offside passes?,Viborg FF had the most offside passes
How many fouls were committed by each team?,"Aalborg BK: 18 fouls, Viborg FF: 17 fouls"
Which team was awarded the most corners?,Viborg FF was awarded the most corners
How many shots did each team have?,"Aalborg BK: 12 shots, Viborg FF: 13 shots"
Which team created the most chances?,Both teams created 8 chances each
What was the result of the match?,"Viborg FF: 2 goals, Aalborg BK: 1 goals"
How many successful defensive actions did each team have?,"Aalborg BK: 58 successful defensive actions, Viborg FF: 32 successful defensive actions"
Which players had most successful passes between each other?,Daniel Anyembe and Nicolas Bürgy with 35 successful passes
Which players scored the goals?,"Goals were scored by Mads Lauritsen, Anders Hagelskjær, Tobias Bech"
When were the goals scored?,"Goals were scored in the minutes: 42, 76, 84"
In which zones were the goals scored for each team?,"Viborg FF: 6C, 6C, Aalborg BK: 5C"
In which zones were the chances created for each team?,"Aalborg BK: 5C, 6C, 6D, 5C, 5B, 6B, 6D, 6C, Viborg FF: 6C, 6C, 6D, 5C, 6B, 6C, 5D, 6C"
Which players created the chances for each team?,"Aalborg BK: Allan Sousa, Jakob Ahlmann, Milan Makaric, Allan Sousa, Malthe Højholt, Allan Sousa, Iver Fossum, Lucas Andersen, Viborg FF: Jakob Bonde, Nicolas Bürgy, Christian Sørensen, Nicolas Bürgy, Justin Lonwijk, Christian Sørensen, Tobias Bech, Jan Zamburek"
How many goals were scored in the first half of the match?,1 goals were scored in the first half
How many goals were scored in the second half of the match?,2 goals were scored in the second half
"In a time period of 15 minutes, when was the most shots taken?",The most shots were taken in the period 75-90 minutes with 7 shots
How did Aalborg BK perform?,"Aalborg BK had 1 successful goals, 333 successful passes, 101 unsuccessful passes, 12 shots, 58 successful defensive actions, 18 fouls, 3 corners awarded, and 1 offside passes"
How did Viborg FF perform?,"Viborg FF had 2 successful goals, 410 successful passes, 97 unsuccessful passes, 13 shots, 32 successful defensive actions, 17 fouls, 6 corners awarded, and 2 offside passes"
Which player was most involved in the events?,Nicolas Bürgy was most involved in the events with 157 events
Which player had most shots?,The player with the most shots was Jakob Bonde
In which half were the most chances created?,The most chances were created in the Second Half
In which zone did Jeppe Grønning have most actions?,Jeppe Grønning had most actions in zone 4B
